,name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage,position,rank,worth,title,government,pay,managementAssets
1266,Stephen Bisciotti,Bisciotti,stephen-bisciotti,stephen-bisciotti,0.0,63.0,"staffing, Baltimore Ravens",Sports,M,United States,1681550402482,MD,Maryland,6446.345,408.0,408.0,//specials-images.forbesimg.com/imageserve/5d8aa1a818444200084e6eb6/416x416.jpg?background=000000&cropX1=524&cropX2=3215&cropY1=11&cropY2=2700,427.0,426.0,4200.0,"Owner, Baltimore Ravens",False,,
1267,Ashwin Dani,Dani,ashwin-dani,ashwin-dani,0.0,80.0,paints,Manufacturing,M,India,1681550402482,,,6938.575,356.0,356.0,//specials-images.forbesimg.com/imageserve/5d9f4aba793bd50006ea41fc/416x416.jpg?background=000000&cropX1=11&cropX2=1246&cropY1=16&cropY2=1252,428.0,426.0,4200.0,,,,
1268,Charles B. Johnson,Johnson,charles-b-johnson,no-pic,-16.257,90.0,money management,Finance & Investments,M,United States,1681550402482,FL,Florida,5043.71,562.0,562.0,//specials-images.forbesimg.com/imageserve/5d8a9df322254b0008e1617b/416x416.jpg?background=000000&cropX1=227&cropX2=1037&cropY1=290&cropY2=1100,429.0,426.0,4200.0,"Former Chairman and CEO, Franklin Resources",False,,
1269,Theo Mueller,Mueller,theo-mueller,theo-mueller,0.0,83.0,dairy,Food & Beverage,M,Germany,1681550402482,,,4637.649,610.0,610.0,//specials-images.forbesimg.com/imageserve/56c9c404e4b062f6b59a2a66/416x416.jpg?background=000000&cropX1=45&cropX2=601&cropY1=29&cropY2=585,430.0,426.0,4200.0,,,,
1270,John Paulson,Paulson,john-paulson,john-paulson,0.0,67.0,hedge funds,Finance & Investments,M,United States,1681550402483,NY,New York,3000.0,1024.0,1024.0,https://specials-images.forbesimg.com/imageserve/5f4975e7275f56b29858e438/416x416.jpg?background=000000&cropX1=1219&cropX2=3947&cropY1=39&cropY2=2765,431.0,426.0,4200.0,"Founder, Paulson & Co. Inc.",False,,
1271,Issad Rebrab,Rebrab,issad-rebrab,issad-rebrab,0.0,79.0,food,Food & Beverage,M,Algeria,1681550402482,,,4602.0,621.0,621.0,//specials-images.forbesimg.com/imageserve/5e73ce0910380d0006bda3b0/416x416.jpg?background=000000&cropX1=1035&cropX2=3522&cropY1=0&cropY2=2487,432.0,426.0,4200.0,,,,
1272,Sheldon Solow,Solow,sheldon-solow,sheldon-solow,,94.0,real estate,Real Estate,M,United States,1605660205401,NY,New York,,,,//specials-images.forbesimg.com/imageserve/59d7c3ae31358e542c036bec/416x416.jpg?background=000000&cropX1=405&cropX2=1571&cropY1=69&cropY2=1235,433.0,426.0,4200.0,,,,
1273,David Sun,Sun,david-sun,david-sun,0.0,71.0,computer hardware,Technology,M,United States,1681550402482,CA,California,6650.7,392.0,392.0,//specials-images.forbesimg.com/imageserve/56dbf33ff9a34972aa0637c95ea9c36b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829,434.0,426.0,4200.0,"COO, Kingston Technology Corporation",False,,
1274,John Tu,Tu,john-tu,john-tu,0.0,81.0,computer hardware,Technology,M,United States,1681550402482,CA,California,6679.886,389.0,389.0,//specials-images.forbesimg.com/imageserve/a8e97df48d0b22d58aa783577ec6c714/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=63&cropY2=804,435.0,426.0,4200.0,"President, Kingston Technology Corporation",False,,
1275,Wei Jianjun,Wei,wei-jianjun,wei-jianjun,825.033,59.0,automobiles,Automotive,M,China,1681550402482,,,13572.478,132.0,132.0,//specials-images.forbesimg.com/imageserve/5e790bb1c7b02d000666f9c1/416x416.jpg?background=000000&cropX1=1605&cropX2=3975&cropY1=86&cropY2=2456,436.0,426.0,4200.0,,,,
1276,Nathan Blecharczyk,Blecharczyk,nathan-blecharczyk,nathan-blecharczyk,45.357,39.0,Airbnb,Technology,M,United States,1681550402482,CA,California,7800.655,289.0,289.0,//specials-images.forbesimg.com/imageserve/5d8ac4346de3150009a50571/416x416.jpg?background=000000&cropX1=1760&cropX2=3926&cropY1=172&cropY2=2339,437.0,437.0,4100.0,,,,
1277,Neal Blue,Blue,neal-blue,no-pic,0.0,88.0,defense,Manufacturing,M,United States,1681550402482,CA,California,4438.3,642.0,642.0,//specials-images.forbesimg.com/imageserve/5d8b455d22254b0008e16d22/416x416.jpg?background=000000&cropX1=339&cropX2=1633&cropY1=347&cropY2=1641,438.0,437.0,4100.0,,,,
1278,Chen Lip Keong,Chen,chen-lip-keong,chen-lip-keong,-10.569,75.0,"casinos, property, energy",Gambling & Casinos,M,Malaysia,1681550402483,,,2811.967,1116.0,1116.0,//specials-images.forbesimg.com/imageserve/5e5fd48644b78400068bfaf8/416x416.jpg?background=000000&cropX1=0&cropX2=2554&cropY1=91&cropY2=2646,439.0,437.0,4100.0,,,,
1279,Brian Chesky,Chesky,brian-chesky,brian-chesky,54.976,41.0,Airbnb,Technology,M,United States,1681550402482,CA,California,8989.979,228.0,228.0,//specials-images.forbesimg.com/imageserve/5d8ac4ab22254b0008e16383/416x416.jpg?background=000000&cropX1=719&cropX2=3126&cropY1=857&cropY2=3266,440.0,437.0,4100.0,"CEO and Cofounder, AirBnB",False,,
1280,Guenther Fielmann,Fielmann,guenther-fielmann,guenther-fielmann,29.251,83.0,optometry,Healthcare,M,Germany,1681550402482,,,4213.533,693.0,693.0,//specials-images.forbesimg.com/imageserve/5e76265ec7b02d000666c821/416x416.jpg?background=000000&cropX1=184&cropX2=2075&cropY1=86&cropY2=1975,441.0,437.0,4100.0,,,,
1281,Joe Gebbia,Gebbia,joe-gebbia,joe-gebbia,39.884,41.0,Airbnb,Technology,M,United States,1681550402482,CA,California,7399.933,322.0,322.0,https://specials-images.forbesimg.com/imageserve/62d597ca0c6cd83555f269bb/416x416.jpg?background=000000&cropX1=90&cropX2=1180&cropY1=384&cropY2=1475,442.0,437.0,4100.0,"Chief Product Officer & Cofounder, AirBnB",False,,
1282,Andrei Guriev,Guriev & family,andrei-guriev-family,no-pic,0.0,63.0,fertilizers,Manufacturing,M,Russia,1681550402482,,,9659.665,202.0,202.0,https://specials-images.forbesimg.com/imageserve/606c75e71798092c29d2e4c2/416x416.jpg?background=000000&cropX1=437&cropX2=3273&cropY1=67&cropY2=2902,443.0,437.0,4100.0,,,,
1283,Axel Oberwelland,Oberwelland,axel-oberwelland,no-pic,0.0,56.0,candy,Food & Beverage,M,Germany,1681550402483,,,1277.066,2269.0,2269.0,//specials-images.forbesimg.com/imageserve/5c7020894bbe6f79679efdd8/416x416.jpg?background=000000&cropX1=171&cropX2=546&cropY1=13&cropY2=388,444.0,437.0,4100.0,,,,
1284,Pan Sutong,Pan,pan-sutong,pan-sutong,,60.0,"real estate, finance",Real Estate,M,Hong Kong,1614191767737,,,,,,//specials-images.forbesimg.com/imageserve/5e3b2d16fc50000006f8f32a/416x416.jpg?background=000000&cropX1=120&cropX2=850&cropY1=115&cropY2=845,445.0,437.0,4100.0,,,,
1285,Augusto & Giorgio Perfetti,Perfetti,giorgio-perfetti,no-pic,0.0,,candy,Food & Beverage,M,Italy,1681550402483,,,2394.801,1332.0,1333.0,,446.0,437.0,4100.0,,,,
1286,Odd Reitan,Reitan,odd-reitan,odd-reitan,0.0,71.0,"retail, real estate",Fashion & Retail,M,Norway,1681550402482,,,4619.07,616.0,616.0,//specials-images.forbesimg.com/imageserve/5c715d574bbe6f79c54746f9/416x416.jpg?background=000000&cropX1=2485&cropX2=4872&cropY1=21&cropY2=2407,447.0,437.0,4100.0,,,,
1287,Tahir,Tahir,tahir,tahir,-8.099,71.0,diversified,Diversified,M,Indonesia,1681550402482,,,4296.152,675.0,675.0,//specials-images.forbesimg.com/imageserve/5c70b5384bbe6f79c5473f96/416x416.jpg?background=000000&cropX1=247&cropX2=3585&cropY1=469&cropY2=3810,448.0,437.0,4100.0,,,,
1288,Wang Wenxue,Wang,wang-wenxue,wang-wenxue,,55.0,real estate,Real Estate,M,China,1604523164744,,,,,,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,449.0,437.0,4100.0,,,,
1289,Yeung Kin-man,Yeung,yeung-kin-man,yeung-kin-man,0.0,59.0,electronics,Manufacturing,M,Hong Kong,1681550402483,,,2218.233,1424.0,1424.0,//specials-images.forbesimg.com/imageserve/5e7654e0c7b02d000666cbdb/416x416.jpg?background=000000&cropX1=408&cropX2=2929&cropY1=0&cropY2=2520,450.0,437.0,4100.0,,,,
1290,Margot Birmingham Perot,Birmingham Perot,margot-birmingham-perot,no-pic-female,0.0,89.0,"computer services, real estate",Technology,F,United States,1681550402482,TX,Texas,4437.814,643.0,643.0,//specials-images.forbesimg.com/imageserve/5d8accb66de3150009a505e7/416x416.jpg?background=000000&cropX1=392&cropX2=2002&cropY1=3&cropY2=1613,451.0,451.0,4000.0,,,,
1291,Jack Dangermond,Dangermond,jack-dangermond,jack-dangermond,0.0,77.0,mapping software,Technology,M,United States,1681550402482,CA,California,6982.718,349.0,349.0,//specials-images.forbesimg.com/imageserve/5d8aa41f22254b0008e161e8/416x416.jpg?background=000000&cropX1=85&cropX2=443&cropY1=0&cropY2=358,452.0,451.0,4000.0,,,,
1292,Traudl Engelhorn,Engelhorn,traudl-engelhorn,no-pic-female,,96.0,"pharmaceuticals, medical equipment",Healthcare,F,Germany,1617669733004,,,,,,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,453.0,451.0,4000.0,,,,
1293,Joshua Harris,Harris,josh-harris,no-pic,8.062,58.0,private equity,Finance & Investments,M,United States,1681550402482,NY,New York,6003.734,441.0,441.0,//specials-images.forbesimg.com/imageserve/5d8ab5026de3150009a50431/416x416.jpg?background=000000&cropX1=743&cropX2=3412&cropY1=0&cropY2=2667,454.0,451.0,4000.0,,,,
1294,Viatcheslav Kantor,Kantor,viatcheslav-kantor,viatcheslav-kantor,0.0,69.0,"fertilizer, real estate",Manufacturing,M,Russia,1681550402482,,,11347.644,162.0,162.0,https://specials-images.forbesimg.com/imageserve/62471e214fd8b86f962b15f6/416x416.jpg?background=000000&cropX1=0&cropX2=1018&cropY1=516&cropY2=1534,455.0,451.0,4000.0,,,,
1295,Ronald Lauder,Lauder,ronald-lauder,ronald-lauder,6.74,79.0,Estee Lauder,Fashion & Retail,M,United States,1681550402482,NY,New York,4599.087,622.0,622.0,//specials-images.forbesimg.com/imageserve/5d8abf786de3150009a5051e/416x416.jpg?background=000000&cropX1=220&cropX2=1267&cropY1=72&cropY2=1118,456.0,451.0,4000.0,,,,
1296,Janice McNair,McNair,janice-mcnair,no-pic-female,0.0,86.0,"energy, sports",Sports,F,United States,1681550402482,TX,Texas,4974.72,567.0,567.0,//specials-images.forbesimg.com/imageserve/5c64893731358e1c187e7e4d/416x416.jpg?background=000000&cropX1=0&cropX2=1500&cropY1=135&cropY2=1635,457.0,451.0,4000.0,,,,
1297,Sami Mnaymneh,Mnaymneh,sami-mnaymneh,no-pic,0.0,61.0,private equity,Finance & Investments,M,United States,1681550402482,FL,Florida,5122.0,542.0,542.0,https://specials-images.forbesimg.com/imageserve/61324bc88105eeefe45b41cd/416x416.jpg?background=000000&cropX1=470&cropX2=3062&cropY1=81&cropY2=2675,458.0,451.0,4000.0,,,,
1298,Yasumitsu Shigeta,Shigeta,yasumitsu-shigeta,yasumitsu-shigeta,46.907,58.0,mobile phone retailer,Telecom,M,Japan,1681550402483,,,3670.439,810.0,810.0,//specials-images.forbesimg.com/imageserve/5ea6e308be3b7600063987a7/416x416.jpg?background=000000&cropX1=893&cropX2=1720&cropY1=109&cropY2=935,459.0,451.0,4000.0,,,,
1299,Jerry Speyer,Speyer,jerry-speyer,jerry-speyer,0.0,82.0,real estate,Real Estate,M,United States,1681550402483,NY,New York,3642.023,816.0,816.0,//specials-images.forbesimg.com/imageserve/5d8ad7d222254b0008e164f9/416x416.jpg?background=000000&cropX1=162&cropX2=745&cropY1=78&cropY2=661,460.0,451.0,4000.0,,,,
1300,Tony Tamer,Tamer,tony-tamer,no-pic,0.0,65.0,private equity,Finance & Investments,M,United States,1681550402482,NY,New York,5122.0,542.0,543.0,//specials-images.forbesimg.com/imageserve/5e14ef019318b800069376e0/416x416.jpg?background=000000&cropX1=23&cropX2=707&cropY1=209&cropY2=893,461.0,451.0,4000.0,,,,
1301,Radovan Vitek,Vitek,radovan-vitek,radovan-vitek,0.0,51.0,real estate,Real Estate,M,Czechia,1681550402482,,,6721.167,382.0,382.0,//specials-images.forbesimg.com/imageserve/589f486a4bbe6f0e55868b04/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=177&cropY2=921,462.0,451.0,4000.0,,,,
1302,Wang Linpeng,Wang,wang-linpeng,no-pic,-53.502,54.0,furniture retailing,Construction & Engineering,M,China,1681550402483,,,2049.942,1536.0,1536.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,463.0,451.0,4000.0,,,,
1303,Russ Weiner,Weiner,russ-weiner,russ-weiner,0.0,52.0,energy drinks,Food & Beverage,M,United States,1681550402482,FL,Florida,4628.5,613.0,613.0,//specials-images.forbesimg.com/imageserve/5d8adc386de3150009a506b7/416x416.jpg?background=000000&cropX1=746&cropX2=1443&cropY1=226&cropY2=923,464.0,451.0,4000.0,,,,
1304,Les Wexner,Wexner,les-wexner,les-wexner,2.19,85.0,retail,Fashion & Retail,M,United States,1681550402482,OH,Ohio,6010.992,440.0,440.0,//specials-images.forbesimg.com/imageserve/5d8aba3122254b0008e162f8/416x416.jpg?background=000000&cropX1=475&cropX2=1465&cropY1=22&cropY2=1011,465.0,451.0,4000.0,"Chairman and CEO, L Brands",False,,
1305,Yao Liangsong,Yao,yao-liangsong,no-pic,0.0,58.0,furniture,Manufacturing,M,China,1681550402482,,,7620.008,297.0,297.0,https://specials-images.forbesimg.com/imageserve/6182cb06eca421f59e3d1ca0/416x416.jpg?background=000000&cropX1=787&cropX2=2131&cropY1=206&cropY2=1550,466.0,451.0,4000.0,,,,
1306,Zhu Baoguo,Zhu,zhu-baoguo,zhu-baoguo,13.699,60.0,pharmaceuticals,Healthcare,M,China,1681550402482,,,4083.525,713.0,713.0,https://specials-images.forbesimg.com/imageserve/589f386aa7ea431f3219482d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=42&cropY2=786,467.0,451.0,4000.0,,,,
1307,An Kang,An,kang-an,kang-an,-4.799,74.0,pharmaceuticals,Healthcare,M,China,1681550402483,,,3135.788,973.0,973.0,https://specials-images.forbesimg.com/imageserve/603e8f5d4a2df75cef4fb25a/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,468.0,468.0,3900.0,,,,
1308,Ding Shijia,Ding,ding-shijia,no-pic,145.131,59.0,sports apparel,Fashion & Retail,M,China,1681550402482,,,8303.441,263.0,263.0,https://specials-images.forbesimg.com/imageserve/636e8bbe2c24bfbb937fde82/416x416.jpg?background=000000&cropX1=236&cropX2=2551&cropY1=703&cropY2=3020,469.0,468.0,3900.0,,,,
1309,Ding Shizhong,Ding,ding-shizhong,ding-shizhong,152.661,52.0,sports apparel,Fashion & Retail,M,China,1681550402482,,,8705.837,242.0,242.0,//specials-images.forbesimg.com/imageserve/5e7505a710380d0006bdc208/416x416.jpg?background=000000&cropX1=1736&cropX2=5240&cropY1=0&cropY2=3503,470.0,468.0,3900.0,,,,
1310,Gustaf Douglas,Douglas,gustaf-douglas,gustaf-douglas,24.426,85.0,investments,Diversified,M,Sweden,1681550402482,,,6499.169,405.0,405.0,//specials-images.forbesimg.com/imageserve/5e77c683d8e1ae0007b7356c/416x416.jpg?background=000000&cropX1=288&cropX2=1306&cropY1=16&cropY2=1034,471.0,468.0,3900.0,,,,
1311,Ken Fisher,Fisher,ken-fisher,ken-fisher,0.0,72.0,money management,Finance & Investments,M,United States,1681550402482,WA,Washington,6745.884,377.0,377.0,//specials-images.forbesimg.com/imageserve/59dbd16931358e542c038093/416x416.jpg?background=000000&cropX1=119&cropX2=540&cropY1=34&cropY2=455,472.0,468.0,3900.0,,,,
1312,Barry Lam,Lam,barry-lam,barry-lam,-265.934,73.0,electronics,Technology,M,Taiwan,1681550402482,,,5291.593,521.0,521.0,https://specials-images.forbesimg.com/imageserve/56cc32c1e4b062f6b59a4fdd/416x416.jpg?background=000000&cropX1=81&cropX2=596&cropY1=118&cropY2=634,473.0,468.0,3900.0,,,,
1313,Lam Wai-ying,Lam,lam-wai-ying,no-pic-female,0.0,,smartphone screens,Manufacturing,F,Hong Kong,1681550402483,,,2145.298,1478.0,1478.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,474.0,468.0,3900.0,"Chairman, Biel Crystal",False,,
1314,Margarita Louis-Dreyfus,Louis-Dreyfus,margarita-louis-dreyfus,margarita-louis-dreyfus,0.0,60.0,commodities,Food & Beverage,F,Switzerland,1681550402483,,,3548.069,843.0,843.0,//specials-images.forbesimg.com/imageserve/5deed561b269e900075dc2bd/416x416.jpg?background=000000&cropX1=6&cropX2=1223&cropY1=49&cropY2=1266,475.0,468.0,3900.0,"President, Louis Dreyfus SAS",False,,
1315,Igor Olenicoff,Olenicoff,igor-olenicoff,igor-olenicoff,0.0,80.0,real estate,Real Estate,M,United States,1681550402482,FL,Florida,6880.305,367.0,367.0,//specials-images.forbesimg.com/imageserve/56d0d880e4b0c144a7f65d89/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=5&cropY2=745,476.0,468.0,3900.0,,,,
1316,Isaac Perlmutter,Perlmutter,isaac-perlmutter,isaac-perlmutter,-15.535,80.0,Marvel comics,Media & Entertainment,M,United States,1681550402482,FL,Florida,4088.322,711.0,711.0,//specials-images.forbesimg.com/imageserve/5d8a94c918444200084e6d66/416x416.jpg?background=000000&cropX1=710&cropX2=1847&cropY1=35&cropY2=1171,477.0,468.0,3900.0,"Chairman, Marvel Entertainment",False,,
1317,Qi Shi,Qi,qi-shi,qi-shi,7.426,53.0,financial information,Technology,M,China,1681550402482,,,8512.945,253.0,253.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,478.0,468.0,3900.0,,,,
1318,Carlos Rodriguez-Pastor,Rodriguez-Pastor,carlos-rodriguez-pastor,carlos-rodriguez-pastor,3.804,64.0,finance,Finance & Investments,M,Peru,1681550402483,,,1500.846,1994.0,1994.0,//specials-images.forbesimg.com/imageserve/5e77063d10380d0006fbb9ff/416x416.jpg?background=000000&cropX1=1859&cropX2=3229&cropY1=673&cropY2=2042,479.0,468.0,3900.0,,,,
1319,Juan Roig,Roig,juan-roig,juan-roig,0.0,73.0,supermarkets,Fashion & Retail,M,Spain,1681550402483,,,3762.808,784.0,784.0,//specials-images.forbesimg.com/imageserve/5e77be9b10380d0006fbc5c4/416x416.jpg?background=000000&cropX1=483&cropX2=2323&cropY1=258&cropY2=2097,480.0,468.0,3900.0,,,,
1320,Steven Udvar-Hazy,Udvar-Hazy,steven-udvar-hazy,steven-udvar-hazy,-4.387,77.0,aircraft leasing,Service,M,United States,1681550402483,CA,California,3846.582,766.0,766.0,//specials-images.forbesimg.com/imageserve/5d8ad1236de3150009a50643/416x416.jpg?background=000000&cropX1=1441&cropX2=3401&cropY1=483&cropY2=2442,481.0,468.0,3900.0,"CEO and Chairman, Air Lease",False,,
1321,Wang Yusuo,Wang,wang-yusuo,wang-yusuo,17.917,59.0,natural gas distribution,Energy,M,China,1681550402482,,,7021.977,343.0,343.0,https://specials-images.forbesimg.com/imageserve/636e8c974fa5680a03fa6445/416x416.jpg?background=000000&cropX1=1035&cropX2=3300&cropY1=296&cropY2=2560,482.0,468.0,3900.0,,,,
1322,Zhao Yan,Zhao,zhao-yan,no-pic-female,-26.939,56.0,"real estate, finance",Diversified,F,China,1681550402482,,,5481.342,502.0,502.0,https://specials-images.forbesimg.com/imageserve/6182ca8cfb85e417104d17a0/416x416.jpg?background=000000&cropX1=31&cropX2=632&cropY1=271&cropY2=872,483.0,468.0,3900.0,,,,
1323,Maria Fernanda Amorim,Amorim,maria-fernanda-amorim,no-pic-female,4.047,88.0,"energy, investments",Diversified,F,Portugal,1681550402482,,,4845.231,581.0,581.0,,484.0,484.0,3800.0,,,,
1324,Rahul Bajaj,Bajaj,rahul-bajaj,rahul-bajaj,,84.0,diversified,Diversified,M,India,1644669715536,,,,,,//specials-images.forbesimg.com/imageserve/5c707a6531358e35dd26e86e/416x416.jpg?background=000000&cropX1=1469&cropX2=3035&cropY1=6&cropY2=1571,485.0,484.0,3800.0,,,,
1325,Cheng Xue,Cheng,cheng-xue,no-pic-female,-41.409,53.0,soy sauce,Food & Beverage,F,China,1681550402482,,,5128.009,541.0,541.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,486.0,484.0,3800.0,,,,
