c,rb,rs
-4.6556074258422715,0.992677102,0.987307565
-4.64557122745485,0.992688408,1.105162208
-4.646285244280673,0.994077267,0.916425357
-4.637080445740114,1.005303926,0.9974338
-4.633506596654735,1.011945318,1.022930338
-4.631496502346037,1.00995677,0.96519588
-4.6393310816353415,1.008716264,1.124403964
-4.633707735885377,1.000793485,1.102723285
-4.623312873746522,1.005108888,1.047004668
-4.606122839618498,1.001156954,1.021085724
-4.592499992959327,0.979866537,1.096356837
-4.594105921334169,0.99008186,1.07339447
-4.57064161759515,0.971070418,1.018588768
-4.570627706417248,0.99844581,0.994708929
-4.555743938448301,1.001301179,1.126956879
-4.550526804414256,0.989882027,1.003265917
-4.547574240101472,1.003136042,1.035861042
-4.531190064864107,1.001049711,1.017762041
-4.519635999507332,0.997437725,0.978888575
-4.508427305716663,0.999229317,1.079891397
-4.509512339354156,1.002921131,0.981466701
-4.502450975507638,1.004477666,0.962366046
-4.5048156594114594,0.998311134,0.976950294
-4.511834864023374,0.99886155,1.07237344
-4.505694783688423,0.998883817,1.107055517
-4.4990334616581755,1.001301146,1.087724106
-4.486636409985554,1.003424983,1.093642953
-4.47645107885784,1.001986161,1.137020061
-4.467717690943375,1.001056225,1.035208315
-4.460135732975513,1.0018795,1.1116104
-4.454755103395538,1.002344487,1.019704047
-4.43788435125797,1.00310448,1.05790605
-4.4304928553186835,1.001183193,1.074886603
-4.428245834605974,0.9999192611,0.984861358
-4.4242415989261525,0.999430452,0.960637152
-4.415896931665582,1.00443729,1.04362837
-4.413597470097327,0.998391458,0.963433798
-4.4100197720086305,1.003597046,1.073173036
-4.403522422557802,0.998472888,0.892895028
-4.403103765004122,1.003892432,0.942784052
-4.41051146263232,0.993120109,1.059925299
-4.400481482632812,1.000200909,1.085385979
-4.388282642748578,1.004069857,1.114594557
-4.383734412095975,1.005398439,1.113327339
-4.376688428284799,1.000126977,1.018323467
-4.365856085591377,1.007033568,1.057794168
-4.358751533595485,1.004755988,0.970146118
-4.351626788151,1.005751923,1.057932883
-4.35201240217586,1.007248555,0.933717625
-4.344437867805469,0.999037506,1.034477316
-4.350463163512791,1.001623734,0.945105944
-4.347787926508504,1.001135776,1.089538716
-4.342612094152492,1.004238893,1.1352125929999999
-4.331053711599741,1.007486684,1.003881942
-4.331693433027904,1.002461186,1.033236026
-4.31704776050594,1.005598413,1.073960063
-4.309740429501824,1.001728974,0.972956884
-4.302383933145983,1.004098725,0.783681125
-4.2986662611603,1.004490106,1.032796936
-4.294244501459826,1.003780759,1.127687359
-4.294730298289037,1.003904485,1.059447855
-4.290830286903178,1.006811645,1.049367825
-4.280046746904622,1.004597713,1.034975483
-4.276057464283933,1.006287268,1.044675128
-4.2636366365897995,1.003488263,1.056870633
-4.251729025094168,1.005651997,1.034788467
-4.240438881844639,1.004425147,1.034478957
-4.235309250606346,1.006384975,1.012652265
-4.22917803647281,1.005922278,1.030076038
-4.220488225729308,1.00314415,0.97144017
-4.209789016991614,1.004298243,1.075984753
-4.18924121554029,1.004989909,1.037181009
-4.182786409118862,1.001996026,0.968856236
-4.174954385675396,1.002882442,0.952204382
-4.1699521197305796,1.005267521,0.900020911
-4.166696311284937,1.005492341,1.061003341
-4.15968314732551,1.007318396,1.137768996
-4.154376835761422,1.004412637,1.017988517
-4.150726867900153,1.003117257,1.068632617
-4.14835571506424,1.004429337,1.001839315
-4.135867677470062,1.000801244,0.925299044
-4.124214067326781,1.003252996,1.117750996
-4.114261840890498,1.00205029,1.02510469
-4.111590542926189,1.004453919,1.018502899
-4.106100897920703,1.004267468,0.961501318
-4.101698778299348,1.002849328,0.947265668
-4.099461813045028,1.004699857,0.949105227
-4.093819739965397,1.007500899,0.99158285
-4.089340543234876,1.00328023,0.96282838
-4.090590915975177,1.004604331,0.7899698310000001
-4.086186232083147,1.005804832,1.166681832
-4.084212366719192,0.999697541,1.087466351
-4.083457086468004,1.000374025,1.103932125
-4.081490135508679,1.000438757,0.988923117
-4.081321926032994,1.000496757,0.982966506
-4.074223338624289,1.00263241,1.04003281
-4.073466865960882,0.998891545,1.054393635
-4.061729309474289,1.00282605,0.994343222
-4.053634093920663,1.002101435,1.019596985
-4.040241451069559,1.002257262,1.061671722
-4.035073741086294,1.001689063,0.916878343
-4.037022611754995,0.998054941,0.907849031
-4.036246310168478,1.000225404,1.053563864
-4.039732805027899,0.995979795,0.873476395
-4.049694671453867,0.988327458,0.946797718
-4.04982688356291,0.992636438,0.878543618
-4.050317552454664,0.995818348,0.730246248
-4.05421597285164,0.99595296,1.07274491
-4.051880364855367,0.995089207,1.219587907
-4.04169727489684,1.000588848,1.148442448
-4.040704065670079,0.995907291,0.864073391
-4.0373308755212856,0.997321365,1.066535655
-4.028026232134553,1.000874967,1.148356967
-4.023469950319691,1.00477982,1.01798946
-4.017769039833221,0.99715553,1.0030525
-4.00907744557045,0.995869624,1.025662684
-4.006291982472242,0.992646415,0.915154295
-4.0077083105831885,0.994153946,1.023840956
-4.002661808123991,0.999697935,0.956127945
-3.993531641216127,1.000091864,0.991709021
